Department	JobRole	employees	leavers	attrition_pct	department_rank
Human Resources	Human Resources	52	12	23.08	1
Human Resources	Manager	11	0	0.00	2
Research & Development	Laboratory Technician	259	62	23.94	1
Research & Development	Research Scientist	292	47	16.10	2
Research & Development	Manufacturing Director	145	10	6.90	3
Research & Development	Healthcare Representative	131	9	6.87	4
Research & Development	Manager	54	3	5.56	5
Research & Development	Research Director	80	2	2.50	6
Sales	Sales Representative	83	33	39.76	1
Sales	Sales Executive	326	57	17.48	2
Sales	Manager	37	2	5.41	3
