variable,category,No,Yes,total,percent_of_sample,attrition_percent_within_category
OverTime,No,944,110,1054,71.70068027210884,10.436432637571158
OverTime,Yes,289,127,416,28.29931972789116,30.528846153846157
JobRole,Healthcare Representative,122,9,131,8.91156462585034,6.870229007633588
JobRole,Human Resources,40,12,52,3.537414965986395,23.076923076923077
JobRole,Laboratory Technician,197,62,259,17.61904761904762,23.93822393822394
JobRole,Manager,97,5,102,6.938775510204081,4.901960784313726
JobRole,Manufacturing Director,135,10,145,9.863945578231291,6.896551724137931
JobRole,Research Director,78,2,80,5.442176870748299,2.5
JobRole,Research Scientist,245,47,292,19.86394557823129,16.095890410958905
JobRole,Sales Executive,269,57,326,22.176870748299322,17.484662576687114
JobRole,Sales Representative,50,33,83,5.646258503401361,39.75903614457831
Department,Human Resources,51,12,63,4.285714285714286,19.047619047619047
Department,Research & Development,828,133,961,65.37414965986395,13.839750260145681
Department,Sales,354,92,446,30.34013605442177,20.62780269058296
BusinessTravel,Non-Travel,138,12,150,10.204081632653061,8.0
BusinessTravel,Travel_Frequently,208,69,277,18.843537414965986,24.90974729241877
BusinessTravel,Travel_Rarely,887,156,1043,70.95238095238095,14.956855225311601
MaritalStatus,Divorced,294,33,327,22.244897959183675,10.091743119266056
MaritalStatus,Married,589,84,673,45.78231292517007,12.481426448736999
MaritalStatus,Single,350,120,470,31.97278911564626,25.53191489361702
JobSatisfaction,1,223,66,289,19.65986394557823,22.837370242214533
JobSatisfaction,2,234,46,280,19.047619047619047,16.428571428571427
JobSatisfaction,3,369,73,442,30.068027210884352,16.515837104072396
JobSatisfaction,4,407,52,459,31.22448979591837,11.328976034858387
