,coefficient,std_error,z,p_raw,exp_coefficient,exp_ci_low,exp_ci_high,p_bh
Intercept,18.87899196925577,12.400477879871096,1.5224406794758156,0.1278986984718032,158140109.8517862,0.004402872692755875,5.67999487813529e+18,
"C(OverTime, Treatment(reference=""No""))[T.Yes]",1.486754801192217,0.1593054169181356,9.33273224448002,1.0317622961509624e-20,4.422719600887981,3.236595227280422,6.04352638946285,1.0317622961509624e-19
"C(JobSatisfaction, Treatment(reference=1))[T.2]",-0.4918409443562623,0.2362180271982455,-2.082148217855895,0.03732893341448646,0.6114996205635408,0.3848815054329727,0.9715504140130078,0.046661166768108074
"C(JobSatisfaction, Treatment(reference=1))[T.3]",-0.47770243349443586,0.20736540133054215,-2.303674723118223,0.021240909783047802,0.6202067222734335,0.4130729150930904,0.931206971695226,0.03540151630507967
"C(JobSatisfaction, Treatment(reference=1))[T.4]",-1.0312895606628167,0.22267257495888731,-4.631417051934783,3.6317149361713563e-06,0.35654687515423084,0.2304503622420099,0.5516401577565944,1.815857468085678e-05
age10,-1.6313398586584869,0.5983397845882061,-2.726443904747567,0.006402083363560136,0.19566723198050678,0.060563414643725055,0.6321583070593959,0.012804166727120272
log2_income,-2.2959406704322443,2.05677521771899,-1.1162817650917118,0.26430154451376975,0.1006666545708761,0.001787126919657349,5.670428457557487,0.2936683827930775
tenure5,-0.7284297715538317,0.18087568084557049,-4.027239970285206,5.6435426289347644e-05,0.4826662917075759,0.33859871927934115,0.6880319856099254,0.00014589646736836275
I(age10 ** 2),0.17190695349097596,0.07826659549644381,2.196428149206859,0.02806131269925385,1.1875673290787718,1.018679565604015,1.3844551404730063,0.040087589570362646
I(log2_income ** 2),0.07638281436851396,0.0837977459482902,0.9115139494998847,0.3620246390665911,1.0793756956031277,0.9158911532706756,1.2720418666544593,0.3620246390665911
I(tenure5 ** 2),0.12509879146590927,0.031124124376447914,4.019351354365278,5.83585869473451e-05,1.1332604039934047,1.0661954187949505,1.2045438581145187,0.00014589646736836275
